Published_time,news_content,news_headline
2021-01-20 10:24:00,"Hệ thống giao dịch lỗi ngay trong phiên sáng 20/01?: Sáng ngày 20/01, bảng điện của các công ty chứng khoán xuất hiện vấn đề. Nhiều nhà đầu tư phản ánh việc không thể đặt lệnh mua bán chính xác dựa theo...",Hệ thống giao dịch lỗi ngay trong phiên sáng 20/01?
2021-01-19 20:00:00,"Thị trường chứng quyền 20/01/2021: Đỏ lửa cùng thị trường cơ sở: Sắc đỏ tràn ngập thị trường chứng quyền trong phiên giao dịch ngày 19/01/2021 với 101 mã giảm giá, 14 mã tăng giá và 1 mã đứng giá. Khối ngoại bán...",Thị trường chứng quyền 20/01/2021: Đỏ lửa cùng thị trường cơ sở
2021-01-19 10:00:00,VIP bán 3 triệu cp quỹ sau khi cổ phiếu tăng trên 200%: CTCP Vận tải Xăng dầu Vipco (HOSE: VIP) vừa công bố phương án bán 3 triệu cp quỹ trong khoảng thời gian từ ngày 28/01-26/02 sắp tới.,VIP bán 3 triệu cp quỹ sau khi cổ phiếu tăng trên 200%
2021-01-18 19:30:00,"Chứng khoán phái sinh 19/01/2021: VN30-Index gặp khó tại vùng 1,160-1,180 điểm: Các hợp đồng tương lai đồng loạt giảm điểm trong phiên giao dịch ngày 18/01/2021. Basis hợp đồng VN30F2101 tiếp tục thu hẹp và đạt giá trị 3.66 điểm...","Chứng khoán phái sinh 19/01/2021: VN30-Index gặp khó tại vùng 1,160-1,180 điểm"
2021-01-18 11:04:00,"BMI đăng ký thoái sạch vốn tại MB: Ngày 13/01, Tổng CTCP Bảo Minh (HOSE: BMI) đăng ký bán toàn bộ số cổ phần đang nắm giữ tại Ngân hàng TMCP Quân đội (MB, HOSE: MBB) trong thời gian từ...",BMI đăng ký thoái sạch vốn tại MB
2021-01-17 19:57:00,"Lý do nghẽn lệnh chứng khoán vào HOSE: Do năng lực thiết kế của hệ thống giao dịch tại HOSE có giới hạn về số lượng lệnh trong một ngày, không đáp ứng được nhu cầu giao dịch tăng đột biến...",Lý do nghẽn lệnh chứng khoán vào HOSE
2021-01-16 10:30:00,"Chủ tịch HĐQT HIG chuẩn bị bán hết hơn 4 triệu cp đang nắm giữ: Ngày 15/01, Chủ tịch HĐQT CTCP Tập đoàn HIPT (UPCoM: HIG) - ông Lê Hải Đoàn - thông báo đã đăng ký bán toàn bộ hơn 4 triệu cp đang nắm giữ tại HIG.",Chủ tịch HĐQT HIG chuẩn bị bán hết hơn 4 triệu cp đang nắm giữ
2021-01-15 10:58:00,Quỹ ngoại tiếp tục muốn gom 1 triệu cp AST: Quỹ ngoại PENM IV Germany GmbH & Co. KG vừa tiếp tục đăng ký mua 1 triệu cp AST của CTCP Dịch vụ Hàng không Taseco (HOSE: AST) từ ngày...,Quỹ ngoại tiếp tục muốn gom 1 triệu cp AST
2021-01-14 19:30:00,Chứng khoán phái sinh 15/01/2021: Basis thu hẹp trở lại: Hầu hết các hợp đồng tương lai giảm điểm trong phiên giao dịch ngày 14/01/2021. Basis hợp đồng VN30F2101 thu hẹp và đạt giá trị 19.91 điểm. Điều này...,Chứng khoán phái sinh 15/01/2021: Basis thu hẹp trở lại
2021-01-14 08:45:00,"Tập đoàn Quốc tế ABC không còn là cổ đông của VES: Ngày 08/01, CTCP Tập đoàn Quốc tế ABC không còn là cổ đông của CTCP Đầu tư và Xây dựng Điện Mêca Vneco (UPCoM: VES) sau khi hoàn thành thương vụ bán...",Tập đoàn Quốc tế ABC không còn là cổ đông của VES
2021-01-13 15:35:00,"Nhịp đập Thị trường 13/01: VN-Index điều chỉnh sau khi test lại đỉnh cũ tháng 04/2018: VN-Index kết phiên giảm 0.52%, đạt 1,186.05 điểm; chỉ số HNX-Index tăng 0.23%, đạt mức 222.49 điểm. Độ rộng thị trường khá cân bằng với 391 mã tăng...",Nhịp đập Thị trường 13/01: VN-Index điều chỉnh sau khi test lại đỉnh cũ tháng 04/2018
2021-01-13 06:00:00,13/01: Đọc gì trước giờ giao dịch chứng khoán?: Cùng Vietstock điểm lại những tin tức đáng chú ý về thị trường chứng khoán trong nước và quốc tế diễn ra trong 24h qua.,13/01: Đọc gì trước giờ giao dịch chứng khoán?
2021-01-12 13:00:00,"Ông Đinh Quang Hinh (VNDirect): Đầu tư công năm 2021 sẽ khó đột biến: Theo nhận định của ông Đinh Quang Hinh, chuyên gia đến từ CTCK VNDirect, đầu tư công năm 2021 sẽ khó tăng trưởng đột biến như năm 2020. Tuy vậy, đây...",Ông Đinh Quang Hinh (VNDirect): Đầu tư công năm 2021 sẽ khó đột biến
2021-01-11 20:00:00,"Thị trường chứng quyền 12/01/2021: Nhiều mã chứng quyền khởi sắc: Thị trường chứng quyền tiếp tục giữ vững sắc xanh trong phiên giao dịch ngày 11/01/2021 với 96 mã tăng giá, 18 mã giảm giá và 2 mã đứng giá. Khối...",Thị trường chứng quyền 12/01/2021: Nhiều mã chứng quyền khởi sắc
2021-01-11 13:05:00,"Mua CTD, SCS, SJD có khả quan?: Các công ty chứng khoán (CTCK) khuyến nghị mua CTD do thị trường bất động sản duy trì tăng trưởng khả quan kết hợp với tình hình tài chính và nhân sự...","Mua CTD, SCS, SJD có khả quan?"
2021-01-11 06:00:00,11/01: Đọc gì trước giờ giao dịch chứng khoán?: Cùng điểm lại các tin tức kinh tế tài chính đáng chú ý những ngày cuối tuần qua. ,11/01: Đọc gì trước giờ giao dịch chứng khoán?
2021-01-09 10:54:00,NSH: Tổng Giám đốc gom thêm cổ phiếu: Ủy viên HĐQT kiêm Tổng Giám đốc CTCP Nhôm Sông Hồng (HNX: NSH) – ông Lê Văn Thắng vừa đăng ký mua hơn 1.6 triệu cp NSH.,NSH: Tổng Giám đốc gom thêm cổ phiếu
2021-01-08 13:00:00,"America LLC không còn là cổ đông lớn của HMH: Đầu năm 2021, quỹ ngoại Amerrica LLC thông báo không còn là cổ đông lớn của CTCP Hải Minh (HNX: HMH) sau khi bán hơn 1.7 triệu cp HMH trong ngày...",America LLC không còn là cổ đông lớn của HMH
2021-01-07 19:30:00,"Chứng khoán phái sinh 08/01/2021: VN30-Index kết phiên ở trên vùng 1,120-1,130 điểm: Các hợp đồng tương lai đồng loạt bứt phá trong phiên giao dịch ngày 07/01/2021. Basis hợp đồng VN30F2101 mở rộng và đạt giá trị 18.31 điểm. Điều này...","Chứng khoán phái sinh 08/01/2021: VN30-Index kết phiên ở trên vùng 1,120-1,130 điểm"
2021-01-07 09:33:00,"Thanh khoản hợp đồng tương lai VN30 tăng mạnh năm 2020: Trong cả năm 2020, khối lượng giao dịch bình (KLGD) quân hợp đồng tương lai chỉ số VN30 đạt 158,390 hợp đồng/phiên, tăng 78.5% so với năm 2019.",Thanh khoản hợp đồng tương lai VN30 tăng mạnh năm 2020
2021-01-06 16:20:00,"Nhịp đập Thị trường 06/01: Đà tăng bị thu hẹp đáng kể: VN-Index kết phiên tăng 0.94%, đạt 1,143.21 điểm; chỉ số HNX-Index tăng 1.71%, đạt mức 211.68 điểm. Độ rộng thị trường nghiêng về bên mua với 448 mã...",Nhịp đập Thị trường 06/01: Đà tăng bị thu hẹp đáng kể
